term_id	exclusion_reason
NCIT:C100524	MONDO:excludeNonDisease
NCIT:C100525	MONDO:excludeNonDisease
NCIT:C100526	MONDO:excludeNonDisease
NCIT:C100527	MONDO:excludeNonDisease
NCIT:C100528	MONDO:excludeNonDisease
NCIT:C100529	MONDO:excludeNonDisease
NCIT:C10053	MONDO:excludeNonDisease
NCIT:C100530	MONDO:excludeNonDisease
NCIT:C100531	MONDO:excludeNonDisease
NCIT:C100532	MONDO:excludeNonDisease
NCIT:C100533	MONDO:excludeNonDisease
NCIT:C100534	MONDO:excludeNonDisease
NCIT:C100535	MONDO:excludeNonDisease
NCIT:C100536	MONDO:excludeNonDisease
NCIT:C100537	MONDO:excludeNonDisease
NCIT:C100538	MONDO:excludeNonDisease
NCIT:C100539	MONDO:excludeNonDisease
NCIT:C10054	MONDO:excludeNonDisease
NCIT:C100540	MONDO:excludeNonDisease
NCIT:C100541	MONDO:excludeNonDisease
NCIT:C100542	MONDO:excludeNonDisease
NCIT:C100543	MONDO:excludeNonDisease
NCIT:C100544	MONDO:excludeNonDisease
NCIT:C100545	MONDO:excludeNonDisease
NCIT:C100546	MONDO:excludeNonDisease
